Live,Superheroes,ThreeD,Girls,Animals,Nature,Flowers,Cars,City,Food,Music,Space
6,3,3,2,2,1,1,2,2,1,1,3
9,2,2,5,3,2,1,1,2,2,2,2
4,1,3,2,2,1,2,2,1,1,2,2
6,1,3,2,4,2,2,1,2,1,1,3
4,1,13,2,2,1,2,1,3,3,1,3
10,1,6,2,2,2,2,1,2,1,1,2
3,1,3,3,2,2,1,1,1,2,2,2
7,1,1,2,2,1,1,2,2,2,2,3
3,1,2,1,2,1,1,1,1,1,2,3
1,2,2,2,2,1,2,1,1,2,1,2
2,2,3,2,2,2,2,2,2,2,2,2
1,1,2,2,2,1,2,1,1,1,1,2
2,2,2,2,2,2,1,2,1,1,1,2
2,2,2,2,2,2,2,2,1,2,2,2
3,1,2,2,2,1,1,1,1,1,1,2
3,1,2,2,2,1,2,1,2,2,1,3
20,1,2,2,2,1,2,1,1,2,2,3
3,1,2,2,2,2,1,1,1,1,1,3
5,1,2,2,2,1,1,1,1,2,2,2
3,1,2,2,1,2,1,2,2,2,1,3
2,1,2,2,2,1,2,2,1,1,1,3
3,1,2,2,2,2,1,1,1,1,1,3
9,1,2,2,2,1,2,2,1,2,1,3
10,1,2,2,2,1,2,1,1,1,2,3
11,1,2,2,1,2,3,2,1,1,2,3
4,1,2,2,2,2,2,1,2,1,1,3
6,1,2,2,2,1,3,2,1,2,1,3
2,2,2,2,1,1,2,1,2,1,1,3
14,1,2,2,2,1,1,1,1,1,2,3
2,1,2,2,1,1,1,1,2,1,1,3
10,1,2,2,2,2,1,1,1,1,2,3
3,1,2,2,2,1,1,2,1,1,2,3
3,1,2,2,2,2,2,1,1,1,1,3
25,1,2,2,1,1,1,2,3,1,1,2
3,1,2,2,1,1,1,1,3,1,2,2
1,1,2,2,1,1,1,2,1,1,1,2
1,1,2,2,1,2,1,1,1,1,2,3
1,1,2,2,2,2,1,1,1,1,1,3
1,1,2,2,1,2,1,1,2,1,1,2
1,1,2,2,1,2,1,1,1,1,1,3
1,1,2,2,2,2,1,1,1,1,1,3
1,1,2,2,2,1,1,1,1,1,1,3
1,1,2,2,1,1,1,1,1,1,1,3
1,1,2,2,2,1,1,1,1,1,2,2
1,1,2,2,2,2,1,1,2,2,1,2
1,1,2,2,1,2,1,1,1,1,1,2
1,1,2,2,2,1,1,1,1,1,1,3
1,1,2,2,1,1,1,1,1,1,1,2
1,1,2,2,1,1,1,1,1,1,1,2
1,1,2,2,1,2,1,1,1,1,1,2
1,1,2,2,1,1,1,1,1,1,1,
1,1,2,2,1,2,1,1,1,1,1,
1,1,2,2,1,1,1,1,1,1,1,
1,1,2,1,1,2,1,1,1,1,1,
1,1,2,2,1,1,2,1,1,1,1,
1,1,2,2,,2,2,1,1,1,1,
1,1,2,2,,1,1,1,1,1,1,
2,1,2,2,,2,1,1,1,1,1,
2,1,2,2,,1,1,1,1,1,1,
2,1,2,2,,2,1,1,1,1,1,
2,1,,,,,,,,,,
2,1,,,,,,,,,,
2,1,,,,,,,,,,
2,1,,,,,,,,,,
2,1,,,,,,,,,,
2,1,,,,,,,,,,
2,,,,,,,,,,,
2,,,,,,,,,,,
2,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
2,,,,,,,,,,,
2,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,,,,,,,,,,,
